Year,Under 20 year,20 till 40 year,40 till 65 year,65 till 80 year,80 year or older
2000,3873008,4761504,5076996,1652103,500339
2001,3908053,4727104,5177417,1657864,516637
2002,3940636,4685727,5280208,1667107,531607
2003,3968999,4624170,5378947,1676486,543970
2004,3987557,4548566,5470755,1692856,558298
2005,3987957,4467783,5561116,1715097,573573
2006,3975626,4389840,5638285,1743443,587016
2007,3957103,4319136,5713401,1767510,600842
2008,3940450,4267063,5783060,1799337,615489
2009,3933585,4233861,5846526,1840607,631208
2010,3928334,4192772,5915555,1890334,647994
2011,3913819,4162599,5984435,1927399,667547
2012,3894754,4141893,5977333,2030353,686015
2013,3870773,4120358,5964099,2121525,702820
2014,3846040,4117652,5946573,2201935,717089
2015,3828059,4134447,5930535,2272709,734976
2016,3818499,4163702,5911611,2336560,748748
