maand,gezocht
2016-10-02,0.62
2016-10-09,0.58
2016-10-16,0.62
2016-10-23,0.58
2016-10-30,0.52
2016-11-06,0.52
2016-11-13,0.61
2016-11-20,0.84
2016-11-27,0.70
2016-12-04,0.63
2016-12-11,0.69
2016-12-18,0.76
2016-12-25,1.0
2017-01-01,0.64
2017-01-08,0.66
2017-01-15,0.65
2017-01-22,0.61
2017-01-29,0.54
2017-02-05,0.51
2017-02-12,0.60
2017-02-19,0.53
2017-02-26,0.60
2017-03-05,0.59
2017-03-12,0.54
2017-03-19,0.56
2017-03-26,0.60
2017-04-02,0.57
2017-04-09,0.57
2017-04-16,0.61
2017-04-23,0.55
2017-04-30,0.56
2017-05-07,0.62
2017-05-14,0.53
2017-05-21,0.53
2017-05-28,0.58
2017-06-04,0.53
2017-06-11,0.53
2017-06-18,0.62
2017-06-25,0.52
2017-07-02,0.52
2017-07-09,0.54
2017-07-16,0.60
2017-07-23,0.57
2017-07-30,0.52
2017-08-06,0.62
2017-08-13,0.57
2017-08-20,0.65
2017-08-27,0.54
2017-09-03,0.54
2017-09-10,0.54
2017-09-24,0.52
2017-09-17,0.59
